"NameOfStation";"Line";"Year";"Quarter";"IncomingPassengers";"OutgoingPassengers";"global_id";
"Станция метрополитена";"Линия";"Год";"Квартал";"Входы пассажиров";"Выходы пассажиров";"global_id";
"Улица Горчакова";"Бутовская линия Лёгкого метро";"2022";"III квартал";"763959";"749332";"2389510470";
"Бунинская аллея";"Бутовская линия Лёгкого метро";"2022";"III квартал";"1703934";"1667717";"2389510471";
"Авиамоторная";"Калининская линия";"2022";"III квартал";"3400258";"3570615";"2389510472";
"Третьяковская";"Калининская линия";"2022";"III квартал";"2423817";"2568229";"2389510473";
"Проспект Мира";"Калужско-Рижская линия";"2022";"III квартал";"1754623";"1839187";"2389510474";
"Третьяковская";"Калужско-Рижская линия";"2022";"III квартал";"0";"0";"2389510475";
"Киевская";"Кольцевая линия";"2022";"III квартал";"3152625";"3070193";"2389510476";
"Белорусская";"Кольцевая линия";"2022";"III квартал";"4036840";"3738250";"2389510477";
"Комсомольская";"Кольцевая линия";"2022";"III квартал";"8461732";"6782754";"2389510478";
"Таганская";"Кольцевая линия";"2022";"III квартал";"2190040";"2287469";"2389510479";
"Павелецкая";"Кольцевая линия";"2022";"III квартал";"3798997";"3943156";"2389510480";
"Октябрьская";"Кольцевая линия";"2022";"III квартал";"2316639";"2401698";"2389510481";
"Парк культуры";"Кольцевая линия";"2022";"III квартал";"3062301";"3209408";"2389510482";
"Тимирязевская";"Московская монорельсовая транспортная система";"2022";"III квартал";"59265";"47560";"2389510483";
"Окружная";"Московское центральное кольцо";"2022";"III квартал";"1359147";"1354616";"2389510484";
"Владыкино";"Московское центральное кольцо";"2022";"III квартал";"684588";"894752";"2389510485";
"Ботанический сад";"Московское центральное кольцо";"2022";"III квартал";"1002370";"1225726";"2389510486";
"Бульвар Рокоссовского";"Московское центральное кольцо";"2022";"III квартал";"843371";"884538";"2389510487";
"Шоссе Энтузиастов";"Московское центральное кольцо";"2022";"III квартал";"641994";"728457";"2389510488";
"Нижегородская";"Московское центральное кольцо";"2022";"III квартал";"1848636";"1989495";"2389510489";
"Дубровка";"Московское центральное кольцо";"2022";"III квартал";"737312";"795057";"2389510490";
"Автозаводская";"Московское центральное кольцо";"2022";"III квартал";"504829";"581930";"2389510491";
"Кутузовская";"Московское центральное кольцо";"2022";"III квартал";"1543093";"1721750";"2389510492";
"Москва-Сити";"Московское центральное кольцо";"2022";"III квартал";"1448159";"1576605";"2389510493";
"Петровско-Разумовская";"Серпуховско-Тимирязевская линия";"2022";"III квартал";"0";"0";"2389510494";
"Сокольники";"Сокольническая линия";"2022";"III квартал";"2291858";"2322318";"2389510495";
"Проспект Вернадского";"Сокольническая линия";"2022";"III квартал";"2149699";"2173954";"2389510496";
"Китай-город";"Таганско-Краснопресненская линия";"2022";"III квартал";"0";"0";"2389510497";
"Кунцевская";"Филёвская линия";"2022";"III квартал";"545717";"534076";"2389510498";
"Киевская";"Филёвская линия";"2022";"III квартал";"0";"0";"2389510499";
"Пятницкое шоссе";"Арбатско-Покровская линия";"2022";"IV квартал";"1640243";"1544504";"2507539352";
"Митино";"Арбатско-Покровская линия";"2022";"IV квартал";"2248792";"2150106";"2507539353";
"Волоколамская";"Арбатско-Покровская линия";"2022";"IV квартал";"1618530";"1574224";"2507539354";
"Мякинино";"Арбатско-Покровская линия";"2022";"IV квартал";"1592650";"1538744";"2507539355";
"Строгино";"Арбатско-Покровская линия";"2022";"IV квартал";"2637386";"2596511";"2507539356";
"Крылатское";"Арбатско-Покровская линия";"2022";"IV квартал";"2329158";"2291804";"2507539357";
"Молодёжная";"Арбатско-Покровская линия";"2022";"IV квартал";"4213778";"4160339";"2507539358";
"Площадь Революции";"Арбатско-Покровская линия";"2022";"IV квартал";"3033234";"3052572";"2507539365";
"Бауманская";"Арбатско-Покровская линия";"2022";"IV квартал";"5130274";"5385820";"2507539367";
"Семёновская";"Арбатско-Покровская линия";"2022";"IV квартал";"2722598";"2799830";"2507539369";
"Партизанская";"Арбатско-Покровская линия";"2022";"IV квартал";"1658088";"1616914";"2507539370";
"Измайловская";"Арбатско-Покровская линия";"2022";"IV квартал";"1689535";"1692504";"2507539371";
"Первомайская";"Арбатско-Покровская линия";"2022";"IV квартал";"3162666";"3128499";"2507539372";
"Щёлковская";"Арбатско-Покровская линия";"2022";"IV квартал";"6582217";"6223275";"2507539373";
"Петровский парк";"Большая кольцевая линия";"2022";"IV квартал";"1059131";"1097150";"2507539375";
"ЦСКА";"Большая кольцевая линия";"2022";"IV квартал";"2702427";"2788570";"2507539376";
"Хорошёвская";"Большая кольцевая линия";"2022";"IV квартал";"879790";"898586";"2507539377";
"Народное Ополчение";"Большая кольцевая линия";"2022";"IV квартал";"1601595";"1587603";"2507539380";
"Мнёвники";"Большая кольцевая линия";"2022";"IV квартал";"66917";"59175";"2507539381";
"Терехово";"Большая кольцевая линия";"2022";"IV квартал";"420594";"446101";"2507539385";
"Давыдково";"Большая кольцевая линия";"2022";"IV квартал";"938869";"935910";"2507539387";
"Аминьевская";"Большая кольцевая линия";"2022";"IV квартал";"1145868";"1125404";"2507539388";
"Новаторская";"Большая кольцевая линия";"2022";"IV квартал";"1106645";"1107366";"2507539391";
"Воронцовская";"Большая кольцевая линия";"2022";"IV квартал";"661919";"682851";"2507539392";
"Зюзино";"Большая кольцевая линия";"2022";"IV квартал";"1496621";"1485456";"2507539393";
"Каховская";"Большая кольцевая линия";"2022";"IV квартал";"1740407";"1765448";"2507539394";
"Битцевский парк";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"253758";"196612";"2507539395";
"Лесопарковая";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"607099";"577524";"2507539396";
"Улица Горчакова";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"858685";"836639";"2507539400";
"Бунинская аллея";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"1890373";"1842218";"2507539401";
"Ховрино";"Замоскворецкая линия";"2022";"IV квартал";"4046248";"3708048";"2507539402";
"Беломорская";"Замоскворецкая линия";"2022";"IV квартал";"2571502";"2453025";"2507539403";
"Речной вокзал";"Замоскворецкая линия";"2022";"IV квартал";"2354860";"2293555";"2507539404";
"Войковская";"Замоскворецкая линия";"2022";"IV квартал";"4079876";"4110777";"2507539406";
"Сокол";"Замоскворецкая линия";"2022";"IV квартал";"3195745";"3240495";"2507539407";
"Аэропорт";"Замоскворецкая линия";"2022";"IV квартал";"3244299";"3320048";"2507539408";
"Динамо";"Замоскворецкая линия";"2022";"IV квартал";"2598271";"2656089";"2507539409";
"Маяковская";"Замоскворецкая линия";"2022";"IV квартал";"2944134";"3071031";"2507539411";
"Тверская";"Замоскворецкая линия";"2022";"IV квартал";"0";"0";"2507539412";
"Театральная";"Замоскворецкая линия";"2022";"IV квартал";"0";"0";"2507539413";
"Новокузнецкая";"Замоскворецкая линия";"2022";"IV квартал";"2440504";"2584568";"2507539414";
"Технопарк";"Замоскворецкая линия";"2022";"IV квартал";"705462";"707658";"2507539417";
"Коломенская";"Замоскворецкая линия";"2022";"IV квартал";"1986889";"1941247";"2507539418";
"Кантемировская";"Замоскворецкая линия";"2022";"IV квартал";"1419478";"1354558";"2507539420";
"Царицыно";"Замоскворецкая линия";"2022";"IV квартал";"2497051";"2323507";"2507539421";
"Орехово";"Замоскворецкая линия";"2022";"IV квартал";"1456743";"1382201";"2507539422";
"Домодедовская";"Замоскворецкая линия";"2022";"IV квартал";"3709668";"3371974";"2507539423";
"Красногвардейская";"Замоскворецкая линия";"2022";"IV квартал";"1048579";"997988";"2507539424";
"Алма-Атинская";"Замоскворецкая линия";"2022";"IV квартал";"1042988";"996277";"2507539425";
"Новокосино";"Калининская линия";"2022";"IV квартал";"5410476";"5202899";"2507539426";
"Новогиреево";"Калининская линия";"2022";"IV квартал";"6200715";"5978702";"2507539427";
"Перово";"Калининская линия";"2022";"IV квартал";"3581579";"3532236";"2507539428";
"Площадь Ильича";"Калининская линия";"2022";"IV квартал";"1771979";"1778423";"2507539431";
"Марксистская";"Калининская линия";"2022";"IV квартал";"2031144";"2126452";"2507539432";
"Медведково";"Калужско-Рижская линия";"2022";"IV квартал";"4689983";"4504535";"2507539434";
"Бабушкинская";"Калужско-Рижская линия";"2022";"IV квартал";"4268920";"4213185";"2507539435";
"Свиблово";"Калужско-Рижская линия";"2022";"IV квартал";"2146809";"2145734";"2507539436";
"ВДНХ";"Калужско-Рижская линия";"2022";"IV квартал";"6107130";"5903816";"2507539438";
"Алексеевская";"Калужско-Рижская линия";"2022";"IV квартал";"2895032";"2967745";"2507539439";
"Рижская";"Калужско-Рижская линия";"2022";"IV квартал";"1113122";"1128793";"2507539440";
"Сухаревская";"Калужско-Рижская линия";"2022";"IV квартал";"1791813";"1898994";"2507539442";
"Тургеневская";"Калужско-Рижская линия";"2022";"IV квартал";"1627162";"1726516";"2507539444";
"Шаболовская";"Калужско-Рижская линия";"2022";"IV квартал";"2342063";"2470570";"2507539448";
"Ленинский проспект";"Калужско-Рижская линия";"2022";"IV квартал";"3025389";"3471991";"2507539449";
"Академическая";"Калужско-Рижская линия";"2022";"IV квартал";"2838814";"2859640";"2507539450";
"Профсоюзная";"Калужско-Рижская линия";"2022";"IV квартал";"2659212";"2712133";"2507539451";
"Новые Черёмушки";"Калужско-Рижская линия";"2022";"IV квартал";"3206637";"3284293";"2507539452";
"Калужская";"Калужско-Рижская линия";"2022";"IV квартал";"2953936";"3075228";"2507539453";
"Беляево";"Калужско-Рижская линия";"2022";"IV квартал";"3417834";"3466097";"2507539454";
"Коньково";"Калужско-Рижская линия";"2022";"IV квартал";"2475547";"2462104";"2507539455";
"Тёплый стан";"Калужско-Рижская линия";"2022";"IV квартал";"5294438";"5158862";"2507539456";
"Ясенево";"Калужско-Рижская линия";"2022";"IV квартал";"2687461";"2632923";"2507539457";
"Новоясеневская";"Калужско-Рижская линия";"2022";"IV квартал";"583716";"563099";"2507539458";
"Краснопресненская";"Кольцевая линия";"2022";"IV квартал";"1737382";"1807608";"2507539460";
"Новослободская";"Кольцевая линия";"2022";"IV квартал";"2605868";"2791425";"2507539462";
"Добрынинская";"Кольцевая линия";"2022";"IV квартал";"1764594";"1872022";"2507539468";
"Селигерская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"3907417";"3805861";"2507539471";
"Верхние Лихоборы";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1219094";"1198242";"2507539472";
"Фонвизинская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1291875";"1281872";"2507539475";
"Бутырская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1268501";"1301414";"2507539476";
"Достоевская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1167115";"1217811";"2507539478";
"Трубная";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1444079";"1532763";"2507539479";
"Сретенский бульвар";"Люблинско-Дмитровская линия";"2022";"IV квартал";"752610";"802671";"2507539480";
"Чкаловская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"4075533";"3981208";"2507539481";
"Римская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1616292";"1638440";"2507539482";
"Крестьянская застава";"Люблинско-Дмитровская линия";"2022";"IV квартал";"719130";"755426";"2507539483";
"Кожуховская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2098751";"2187214";"2507539485";
"Волжская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1454524";"1465320";"2507539487";
"Люблино";"Люблинско-Дмитровская линия";"2022";"IV квартал";"3934419";"3786244";"2507539488";
"Братиславская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"3438680";"3411694";"2507539489";
"Марьино";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2868374";"2818070";"2507539490";
"Борисово";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1165817";"1144538";"2507539491";
"Шипиловская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1493559";"1479069";"2507539492";
"Зябликово";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2085036";"2032584";"2507539493";
"Телецентр";"Московская монорельсовая транспортная система";"2022";"IV квартал";"25980";"23804";"2507539497";
"Стахановская";"Некрасовская линия";"2022";"IV квартал";"654010";"588270";"2507539532";
"Окская";"Некрасовская линия";"2022";"IV квартал";"662089";"638238";"2507539533";
"Юго-Восточная";"Некрасовская линия";"2022";"IV квартал";"1088520";"1036986";"2507539534";
"Косино";"Некрасовская линия";"2022";"IV квартал";"417869";"391295";"2507539535";
"Лухмановская";"Некрасовская линия";"2022";"IV квартал";"1477198";"1386302";"2507539537";
"Некрасовка";"Некрасовская линия";"2022";"IV квартал";"4878840";"4582211";"2507539538";
"Алтуфьево";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"4016661";"3897306";"2507539539";
"Бибирево";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2534810";"2523758";"2507539540";
"Отрадное";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"4252883";"4254572";"2507539541";
"Дмитровская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"3044063";"3119887";"2507539545";
"Менделеевская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2406752";"2563004";"2507539547";
"Чеховская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"1927593";"2050946";"2507539549";
"Боровицкая";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"581456";"616012";"2507539550";
"Полянка";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"1439942";"1523140";"2507539551";
"Серпуховская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2007693";"2149951";"2507539552";
"Тульская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2721280";"2858486";"2507539553";
"Нагатинская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"4559420";"4666538";"2507539554";
"Нагорная";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"1536591";"1573453";"2507539555";
"Нахимовский проспект";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2117619";"2141036";"2507539556";
"Севастопольская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"917710";"956388";"2507539557";
"Чертановская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"3043505";"3017378";"2507539558";
"Южная";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2128940";"2100869";"2507539559";
"Пражская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"4690684";"4679443";"2507539560";
"Аннино";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2341607";"2165213";"2507539562";
"Бульвар Дмитрия Донского";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"5043266";"4838998";"2507539563";
"Черкизовская";"Сокольническая линия";"2022";"IV квартал";"1654340";"1471911";"2507539565";
"Преображенская площадь";"Сокольническая линия";"2022";"IV квартал";"3874936";"3924479";"2507539566";
"Красносельская";"Сокольническая линия";"2022";"IV квартал";"1931748";"1990765";"2507539568";
"Красные ворота";"Сокольническая линия";"2022";"IV квартал";"2201514";"2272496";"2507539570";
"Чистые пруды";"Сокольническая линия";"2022";"IV квартал";"1751583";"1835086";"2507539571";
"Лубянка";"Сокольническая линия";"2022";"IV квартал";"2321856";"2401688";"2507539572";
"Охотный ряд";"Сокольническая линия";"2022";"IV квартал";"4260516";"4294361";"2507539573";
"Кропоткинская";"Сокольническая линия";"2022";"IV квартал";"2114236";"2213656";"2507539575";
"Фрунзенская";"Сокольническая линия";"2022";"IV квартал";"2380565";"2515874";"2507539577";
"Спортивная";"Сокольническая линия";"2022";"IV квартал";"1764026";"1968773";"2507539578";
"Воробьёвы горы";"Сокольническая линия";"2022";"IV квартал";"644011";"630803";"2507539579";
"Университет";"Сокольническая линия";"2022";"IV квартал";"3155345";"3211858";"2507539580";
"Тропарёво";"Сокольническая линия";"2022";"IV квартал";"1749171";"1723988";"2507539583";
"Румянцево";"Сокольническая линия";"2022";"IV квартал";"948315";"954439";"2507539584";
"Саларьево";"Сокольническая линия";"2022";"IV квартал";"3687220";"3372474";"2507539585";
"Филатов луг";"Сокольническая линия";"2022";"IV квартал";"1367892";"1322104";"2507539586";
"Прокшино";"Сокольническая линия";"2022";"IV квартал";"591658";"574268";"2507539587";
"Ольховая";"Сокольническая линия";"2022";"IV квартал";"819868";"782622";"2507539588";
"Новомосковская";"Сокольническая линия";"2022";"IV квартал";"1390266";"1367958";"2507539589";
"Минская";"Солнцевская линия";"2022";"IV квартал";"567091";"581023";"2507539592";
"Ломоносовский проспект";"Солнцевская линия";"2022";"IV квартал";"1266595";"1281914";"2507539593";
"Раменки";"Солнцевская линия";"2022";"IV квартал";"1607968";"1590939";"2507539594";
"Озёрная";"Солнцевская линия";"2022";"IV квартал";"1517757";"1495813";"2507539596";
"Говорово";"Солнцевская линия";"2022";"IV квартал";"1158731";"1115006";"2507539597";
"Солнцево";"Солнцевская линия";"2022";"IV квартал";"1639610";"1577353";"2507539598";
"Боровское шоссе";"Солнцевская линия";"2022";"IV квартал";"508800";"480031";"2507539599";
"Новопеределкино";"Солнцевская линия";"2022";"IV квартал";"1513223";"1443771";"2507539600";
"Рассказовка";"Солнцевская линия";"2022";"IV квартал";"1980564";"1881980";"2507539601";
"Планерная";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3787387";"3642275";"2507539602";
"Сходненская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"4366227";"4275018";"2507539603";
"Тушинская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3966609";"3796663";"2507539604";
"Спартак";"Таганско-Краснопресненская линия";"2022";"IV квартал";"455331";"447174";"2507539605";
"Щукинская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3723452";"3705920";"2507539606";
"Октябрьское поле";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3580891";"3644439";"2507539607";
"Полежаевская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"2686676";"2739667";"2507539608";
"Беговая";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3613373";"3628893";"2507539609";
"Улица 1905 года";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3894781";"4057734";"2507539610";
"Баррикадная";"Таганско-Краснопресненская линия";"2022";"IV квартал";"1959412";"2052934";"2507539611";
"Пушкинская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"3901654";"4108167";"2507539612";
"Кузнецкий мост";"Таганско-Краснопресненская линия";"2022";"IV квартал";"2003026";"2131070";"2507539613";
"Пролетарская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"2814285";"2854765";"2507539617";
"Кузьминки";"Таганско-Краснопресненская линия";"2022";"IV квартал";"5154093";"5082184";"2507539620";
"Рязанский проспект";"Таганско-Краснопресненская линия";"2022";"IV квартал";"2981473";"2959473";"2507539621";
"Выхино";"Таганско-Краснопресненская линия";"2022";"IV квартал";"5781304";"5520963";"2507539622";
"Лермонтовский проспект";"Таганско-Краснопресненская линия";"2022";"IV квартал";"1830280";"1742616";"2507539623";
"Жулебино";"Таганско-Краснопресненская линия";"2022";"IV квартал";"2361287";"2280944";"2507539624";
"Котельники";"Таганско-Краснопресненская линия";"2022";"IV квартал";"5028585";"4505568";"2507539625";
"Пионерская";"Филёвская линия";"2022";"IV квартал";"542903";"524658";"2507539627";
"Филёвский парк";"Филёвская линия";"2022";"IV квартал";"795285";"772598";"2507539628";
"Багратионовская";"Филёвская линия";"2022";"IV квартал";"1509650";"1519125";"2507539629";
"Фили";"Филёвская линия";"2022";"IV квартал";"1558247";"1560116";"2507539630";
"Студенческая";"Филёвская линия";"2022";"IV квартал";"604302";"624486";"2507539632";
"Александровский сад";"Филёвская линия";"2022";"IV квартал";"1578369";"1613870";"2507539636";
"Москва-Сити";"Филёвская линия";"2022";"IV квартал";"574946";"594642";"2507539637";
"Деловой центр";"Филёвская линия";"2022";"IV квартал";"1445130";"1471428";"2507539638";
"Славянский бульвар";"Арбатско-Покровская линия";"2022";"IV квартал";"4931116";"4812530";"2507539783";
"Киевская";"Арбатско-Покровская линия";"2022";"IV квартал";"3575934";"3316078";"2507539785";
"Электрозаводская";"Арбатско-Покровская линия";"2022";"IV квартал";"3225114";"3430899";"2507539789";
"Улица Академика Королёва";"Московская монорельсовая транспортная система";"2022";"IV квартал";"12733";"11701";"2507539831";
"Улица Милашенкова";"Московская монорельсовая транспортная система";"2022";"IV квартал";"16353";"14996";"2507539832";
"Лихоборы";"Московское центральное кольцо";"2022";"IV квартал";"1018256";"1030981";"2507539834";
"Ростокино";"Московское центральное кольцо";"2022";"IV квартал";"2832635";"2838705";"2507539838";
"Белокаменная";"Московское центральное кольцо";"2022";"IV квартал";"142895";"149731";"2507539839";
"Локомотив";"Московское центральное кольцо";"2022";"IV квартал";"1025957";"1069796";"2507539841";
"Измайлово";"Московское центральное кольцо";"2022";"IV квартал";"861733";"936286";"2507539842";
"Андроновка";"Московское центральное кольцо";"2022";"IV квартал";"719456";"720654";"2507539845";
"Новохохловская";"Московское центральное кольцо";"2022";"IV квартал";"736694";"759003";"2507539847";
"Угрешская";"Московское центральное кольцо";"2022";"IV квартал";"483367";"511342";"2507539848";
"ЗИЛ";"Московское центральное кольцо";"2022";"IV квартал";"978640";"1029538";"2507539851";
"Верхние Котлы";"Московское центральное кольцо";"2022";"IV квартал";"1725578";"1790475";"2507539852";
"Крымская";"Московское центральное кольцо";"2022";"IV квартал";"984775";"1028702";"2507539853";
"Площадь Гагарина";"Московское центральное кольцо";"2022";"IV квартал";"1176274";"1435413";"2507539854";
"Лужники";"Московское центральное кольцо";"2022";"IV квартал";"784112";"949893";"2507539855";
"Хорошёво";"Московское центральное кольцо";"2022";"IV квартал";"637292";"675821";"2507539859";
"Зорге";"Московское центральное кольцо";"2022";"IV квартал";"453911";"474773";"2507539860";
"Панфиловская";"Московское центральное кольцо";"2022";"IV квартал";"590327";"626543";"2507539861";
"Стрешнево";"Московское центральное кольцо";"2022";"IV квартал";"1432527";"1476730";"2507539862";
"Балтийская";"Московское центральное кольцо";"2022";"IV квартал";"1020076";"1111635";"2507539863";
"Коптево";"Московское центральное кольцо";"2022";"IV квартал";"1458118";"1523136";"2507539864";
"Библиотека имени Ленина";"Сокольническая линия";"2022";"IV квартал";"0";"0";"2507539876";
"Юго-Западная";"Сокольническая линия";"2022";"IV квартал";"5279789";"5382824";"2507539879";
"Волгоградский проспект";"Таганско-Краснопресненская линия";"2022";"IV квартал";"1913149";"1937629";"2507539885";
"Кунцевская";"Арбатско-Покровская линия";"2022";"IV квартал";"1081862";"1088168";"2507540331";
"Кунцевская";"Большая кольцевая линия";"2022";"IV квартал";"1224083";"1209875";"2507540857";
"Проспект Вернадского";"Большая кольцевая линия";"2022";"IV квартал";"532183";"572939";"2507540859";
"Парк Победы";"Арбатско-Покровская линия";"2022";"IV квартал";"1330481";"1326501";"2507541281";
"Смоленская";"Арбатско-Покровская линия";"2022";"IV квартал";"2304644";"2418011";"2507541283";
"Арбатская";"Арбатско-Покровская линия";"2022";"IV квартал";"2288881";"2417183";"2507541286";
"Курская";"Арбатско-Покровская линия";"2022";"IV квартал";"2013255";"2090505";"2507541481";
"Савёловская";"Большая кольцевая линия";"2022";"IV квартал";"1117908";"1127411";"2507541485";
"Шелепиха";"Большая кольцевая линия";"2022";"IV квартал";"962237";"995496";"2507541489";
"Улица Старокачаловская";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"0";"0";"2507541501";
"Улица Скобелевская";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"1716851";"1646495";"2507541502";
"Бульвар адмирала Ушакова";"Бутовская линия Лёгкого метро";"2022";"IV квартал";"992714";"975140";"2507541503";
"Водный стадион";"Замоскворецкая линия";"2022";"IV квартал";"3602331";"3587289";"2507541504";
"Деловой центр";"Большая кольцевая линия";"2022";"IV квартал";"1349070";"1370654";"2507558854";
"Белорусская";"Замоскворецкая линия";"2022";"IV квартал";"2210209";"2202759";"2507558914";
"Павелецкая";"Замоскворецкая линия";"2022";"IV квартал";"3169264";"2724469";"2507558915";
"Автозаводская";"Замоскворецкая линия";"2022";"IV квартал";"4925885";"5097051";"2507558916";
"Каширская";"Замоскворецкая линия";"2022";"IV квартал";"1087175";"1081282";"2507558917";
"Шоссе Энтузиастов";"Калининская линия";"2022";"IV квартал";"1871580";"2012060";"2507558918";
"Ботанический сад";"Калужско-Рижская линия";"2022";"IV квартал";"1525065";"1752836";"2507558921";
"Китай-город";"Калужско-Рижская линия";"2022";"IV квартал";"5061234";"5302278";"2507558923";
"Октябрьская";"Калужско-Рижская линия";"2022";"IV квартал";"1194034";"1276783";"2507558925";
"Проспект Мира";"Кольцевая линия";"2022";"IV квартал";"2035534";"2107460";"2507558928";
"Курская";"Кольцевая линия";"2022";"IV квартал";"3031377";"2805645";"2507558930";
"Окружная";"Люблинско-Дмитровская линия";"2022";"IV квартал";"767673";"771449";"2507558935";
"Петровско-Разумовская";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2020275";"1910007";"2507558936";
"Марьина роща";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2520619";"2582455";"2507558937";
"Дубровка";"Люблинско-Дмитровская линия";"2022";"IV квартал";"1653138";"1749935";"2507558938";
"Печатники";"Люблинско-Дмитровская линия";"2022";"IV квартал";"2017311";"2004396";"2507558940";
"Улица Сергея Эйзенштейна";"Московская монорельсовая транспортная система";"2022";"IV квартал";"16583";"14338";"2507558941";
"Выставочный центр";"Московская монорельсовая транспортная система";"2022";"IV квартал";"57787";"52019";"2507558942";
"Соколиная Гора";"Московское центральное кольцо";"2022";"IV квартал";"559593";"593319";"2507558948";
"Шелепиха";"Московское центральное кольцо";"2022";"IV квартал";"700010";"761630";"2507558955";
"Нижегородская";"Некрасовская линия";"2022";"IV квартал";"1174981";"1470978";"2507558956";
"улица Дмитриевского";"Некрасовская линия";"2022";"IV квартал";"856271";"827965";"2507558957";
"Владыкино";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"1417070";"1672507";"2507558958";
"Тимирязевская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"1753047";"1723932";"2507558960";
"Савёловская";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"3698841";"3659961";"2507558961";
"Цветной бульвар";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2057764";"2168253";"2507558962";
"Улица академика Янгеля";"Серпуховско-Тимирязевская линия";"2022";"IV квартал";"2492258";"2429701";"2507558963";
"Бульвар Рокоссовского";"Сокольническая линия";"2022";"IV квартал";"2204154";"2185029";"2507558964";
"Комсомольская";"Сокольническая линия";"2022";"IV квартал";"3153865";"2544589";"2507558966";
"Парк культуры";"Сокольническая линия";"2022";"IV квартал";"614790";"652362";"2507558967";
"Деловой центр";"Солнцевская линия";"2022";"IV квартал";"1211344";"1231911";"2507558969";
"Парк Победы";"Солнцевская линия";"2022";"IV квартал";"399181";"415915";"2507558970";
"Мичуринский проспект";"Солнцевская линия";"2022";"IV квартал";"250591";"252928";"2507558971";
"Таганская";"Таганско-Краснопресненская линия";"2022";"IV квартал";"1312577";"1358516";"2507558973";
"Текстильщики";"Таганско-Краснопресненская линия";"2022";"IV квартал";"5210890";"5116137";"2507558974";
"Кутузовская";"Филёвская линия";"2022";"IV квартал";"629615";"675339";"2507558976";
"Смоленская";"Филёвская линия";"2022";"IV квартал";"760043";"782730";"2507558978";
"Арбатская";"Филёвская линия";"2022";"IV квартал";"499615";"491771";"2507558979";
"Кунцевская";"Филёвская линия";"2022";"IV квартал";"576606";"559485";"2507559016";
"Китай-город";"Таганско-Краснопресненская линия";"2022";"IV квартал";"0";"0";"2507559017";
"Проспект Вернадского";"Сокольническая линия";"2022";"IV квартал";"2412282";"2427552";"2507559018";
"Сокольники";"Сокольническая линия";"2022";"IV квартал";"2361965";"2401765";"2507559019";
